epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5654,1.67812,4.80334,1.89619,0.96573,1,0.995,0.7276,0.88706,12.8628,1.18772,0.00012,0.00012,0.00012
2,136.853,1.22897,2.51144,1.45423,0.96979,1,0.995,0.81954,0.71194,3.94754,1.08073,0.000249704,0.000249704,0.000249704
3,204.915,1.17886,2.11379,1.42288,0.80671,0.9,0.89321,0.72694,0.89975,2.8921,1.23893,0.00036832,0.00036832,0.00036832
4,272.823,1.19386,1.63388,1.42196,0.91404,1,0.995,0.77444,0.96738,3.63553,1.25664,0.000475848,0.000475848,0.000475848
5,340.625,1.18292,1.48926,1.33144,0.58763,0.9,0.89933,0.58222,1.26776,7.23184,1.52941,0.000572288,0.000572288,0.000572288
6,408.577,1.21769,1.34429,1.41174,0.11682,1,0.89201,0.58272,1.18404,19.5492,1.4264,0.00065764,0.00065764,0.00065764
7,476.877,1.22896,1.28074,1.42592,0.50141,1,0.98591,0.63778,1.11797,6.61671,1.36793,0.000731904,0.000731904,0.000731904
8,544.734,1.19511,1.1786,1.41791,0.79345,0.9,0.80533,0.46529,1.52704,2.61225,1.54251,0.00079508,0.00079508,0.00079508
9,613.079,1.35049,1.22218,1.47933,0.86705,1,0.995,0.72858,1.00486,2.64267,1.46931,0.000847168,0.000847168,0.000847168
10,680.523,1.19026,1.18841,1.49776,0.64907,0.9,0.89667,0.40411,1.81713,2.36667,2.02024,0.000888168,0.000888168,0.000888168
11,750.078,1.3659,1.23076,1.53459,0.58226,0.6,0.56988,0.28252,2.39752,1.77867,2.66896,0.00091808,0.00091808,0.00091808
12,817.801,1.32282,1.14808,1.57665,0.82818,0.9,0.95643,0.55301,1.27167,2.46987,1.67298,0.000936904,0.000936904,0.000936904
13,885.791,1.39104,1.17377,1.51928,0.76028,1,0.96833,0.59938,1.2484,2.75075,1.56354,0.00094464,0.00094464,0.00094464
14,953.572,1.20943,1.05273,1.37536,0.80571,1,0.995,0.64588,1.01434,2.96261,1.34787,0.000941288,0.000941288,0.000941288
15,1020.82,1.23362,1.12222,1.45658,0.80505,0.9,0.96167,0.60619,1.08748,1.95592,1.33809,0.0008912,0.0008912,0.0008912
16,1088.56,1.15912,0.98677,1.38507,0.84153,0.7,0.78675,0.53385,1.25263,2.31682,1.52104,0.000812,0.000812,0.000812
17,1156.5,1.17851,1.01652,1.39434,0.90916,0.7,0.89251,0.57451,1.43268,1.95395,1.65585,0.0007328,0.0007328,0.0007328
18,1224.51,1.12165,0.98526,1.34946,1,0.58631,0.71879,0.43748,1.59079,1.27356,1.73039,0.0006536,0.0006536,0.0006536
19,1291.92,0.9912,0.83062,1.23313,0.87357,1,0.97682,0.65213,1.09268,1.12917,1.36021,0.0005744,0.0005744,0.0005744
20,1359.56,1.07488,0.8415,1.31842,0.83072,1,0.97682,0.76454,0.87377,1.12777,1.16494,0.0004952,0.0004952,0.0004952
21,1429.37,1.04247,0.84029,1.30539,0.89573,1,0.97682,0.77761,0.8486,1.00795,1.13229,0.000416,0.000416,0.000416
22,1497.03,1.02822,0.80709,1.31487,0.89849,1,0.995,0.78876,0.76684,0.71988,1.07203,0.0003368,0.0003368,0.0003368
23,1564.92,0.99138,0.77784,1.23895,0.98593,1,0.995,0.79687,0.83153,0.62382,1.10759,0.0002576,0.0002576,0.0002576
24,1632.37,0.98441,0.72631,1.21659,0.99379,1,0.995,0.76705,0.84085,0.54636,1.11702,0.0001784,0.0001784,0.0001784
25,1700.26,0.94995,0.7315,1.20009,0.9943,1,0.995,0.78512,0.79138,0.51788,1.08209,9.92e-05,9.92e-05,9.92e-05
