epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0597,1.58179,5.27026,2.02471,0.98823,1,0.995,0.71255,0.82483,6.715,1.16259,8e-05,8e-05,8e-05
2,92.8127,1.17414,2.98668,1.48905,0.9405,0.9,0.97833,0.70639,1.02125,4.68931,1.25319,0.00016218,0.00016218,0.00016218
3,140.331,1.14973,2.18317,1.40556,0.98272,0.9,0.93667,0.79342,0.82098,2.43907,1.13471,0.00022456,0.00022456,0.00022456
4,185.905,1.09876,1.84629,1.39174,0.9863,0.9,0.97192,0.73165,0.87403,1.9222,1.12305,0.00026714,0.00026714,0.00026714
5,231.296,0.9212,1.53743,1.23938,0.99446,1,0.995,0.80105,0.77964,1.25703,1.06629,0.00028992,0.00028992,0.00028992
6,277.112,0.97272,1.32107,1.25198,0.99266,1,0.995,0.79757,0.83651,0.94784,1.10275,0.0002929,0.0002929,0.0002929
7,321.646,0.96251,1.16239,1.25243,0.96213,1,0.995,0.74583,0.84971,0.91352,1.10778,0.00027608,0.00027608,0.00027608
8,366.345,0.96102,0.99388,1.26506,0.99125,1,0.995,0.78474,0.72175,0.84793,1.05146,0.00023946,0.00023946,0.00023946
9,411.09,0.7434,0.82662,1.06691,0.99304,1,0.995,0.80995,0.82897,0.72414,1.09236,0.00018304,0.00018304,0.00018304
10,455.989,0.77958,0.82251,1.09915,0.99421,1,0.995,0.8167,0.81828,0.67459,1.08277,0.00010682,0.00010682,0.00010682
